english,persian
Abandon,"ترک کردن ، رها کردن"
Keen,"تیز ، زیرک"
Jealous,حسود
Tact,تدبیر
Oath,"قسم ، سوگند خوردن"
Vacant,خالی
Hardship,بی نوایی
Gallant,شجاع
Data,"اطلاعات ، داده ها"
Unaccustomed,غیرعادی
Bachelor,مرد مجرد
Qualify,واجد شرایط شدن
Corpse,"جنازه ، جسد"
Conceal,"پنهان کردن ، پوشاندن"
Dismal,غمگین
Frigid,خیلی سرد
Inhabit,ساکن شدن
Numb,بی حس
Peril,"مخاطره ، خطر"
Recline,تکیه کردن
Shriek,جیغ کشیدن
Sinister,شیطانی
Tempt,وسوسه
Wager,شرط بندی
Typical,"نمونه ، معمولی"
Minimum,حداقل
Scarce,کمیاب
Annual,"سالی یکبار ، سالانه"
Persuade,متقاعد کردن
Essential,ضروری
Blend,مخلوط کردن
Visible,دیدنی
Expensive,گران
Talent,استعداد
Devise,طراحی کردن
Wholsale,عمده فروشی
Vapor,بخار
Eliminate,حذف کردن
Villain,"آدم شرور ، مجرم"
Dense,"فشرده ، انبوه"
Utilize,به کار بردن
Humid,مرطوب
Theory,"تئوری ، نظریه"
Descend,فرود آمدن
Circulate,"گشتن ، دور زدن"
Enormous,"عظیم ، بزرگ"
Predict,پیش بینی کردن
Vanish,ناپدید شدن
Tradition,سنت
Rural,روستایی
Burden,مسئولیت سنگین
Campus,محوطه دانشگاه یا مدرسه
Majority,اکثریت
Assemble,"تجمع ، مونتاژ کردن"
Explore,بررسی کردن
Topic,موضوع
Debate,بحث
Evade,"شانه خالی کردن ، فرار کردن"
Probe,جستجو
Reform,اصلاح کردن
Approach,نزدیک شدن
Detect,"متوجه شدن ، کشف کردن"
Defect,نقص
Employee,کارمند
Neglect,غفلت کردن از
Deceive,فریب دادن
Undoubtedly,بی تردید
Popular,عامه پسند
Thorough,تمام عیار
Client,"موکل ، مشتری"
Comprehensive,"جامع ، مفصل"
Defraud,پول گرفتن
Postpone,به تعویق انداختن
Consent,رضایت دادن
Massive,حجیم
Capsule,کپسول
Preserve,محافظت کردن
Denounce,"محکوم کردن ، انتقاد کردن"
Unique,منحصر به فرد
Torrent,سیلاب
Resent,رنجیدن از
Molest,"آسیب رساندن ، حمله کردن"
Gloomy,"تیره تار ، تاریکی"
Unforeseen,غیر مترقبه
Exaggerate,مبالغه کردن
Amateur,"آماتور ، ناشی"
Mediocre,معمولی
Variety,"گوناگونی ، تنوع"
Valid,"معتبر ،‌ قانونی"
Survive,جان سالم به در بردن
Weird,"عجیب و غریب ،‌ مرموز"
Prominent,"مشهور ، برجسته"
Security,"امنیت ، تضمین"
Bulky,"تنومند ، چاق"
Reluctant,ناراضی
Obvious,"آشکار ، واضح"
Vicinity,"نزدیکی ، محله"
Century,قرن
Rage,خشم
Document,سند
Conclude,"پایان دادن ، به نتیجه رسیدن"
Undeniable,غیر قابل انکار
Resist,مقاومت کردن در برابر
Lack,"نیاز ، نداشتن"
Ignore,نادیده گرفتن
Challenge,به مبارزه طلبیدن
Miniature,"مینیاتور ، ریز"
Source,"منشا ، منبع"
Excel,بی نظیر بودن
Feminine,زنانه
Mount,"سوار شدن ، بالا رفتن"
Compete,رقابت کردن
Dread,"هراس ، وحشت"
Masculine,مردانه
Menace,"تهدید ، خطر"
Tendency,"تمایل ، گرایش"
Underestimate,کمتر  از حد برآورد کردن
Victorious,"فاتح ، پیروزمندانه"
Numerous,متعدد
Flexible,انعطاف پذیر
Evidence,"شهادت ، گواه"
Solitary,"آدم گوشه گیر ،‌ تنها"
Vision,"دید ، خیال"
Frequent,مکرر
Glimpse,نظر اجمالی
